iter	Passed	Remaining
0	1	336
1	2	257
2	3	213
3	3	191
4	4	174
5	4	158
6	5	153
7	6	149
8	6	145
9	7	141
10	7	135
11	8	131
12	9	143
13	14	194
14	15	194
15	16	193
16	17	192
17	18	191
18	20	191
19	22	200
20	23	200
21	24	200
22	29	224
23	30	222
24	31	219
25	32	216
26	33	214
27	34	212
28	35	210
29	37	210
30	38	209
31	40	210
32	43	221
33	44	219
34	49	235
35	51	232
36	52	231
37	53	228
38	54	225
39	55	223
40	57	221
41	58	218
42	59	216
43	60	214
44	61	212
45	63	211
46	64	209
47	65	207
48	66	204
49	67	201
50	67	197
51	68	194
52	68	190
53	69	186
54	69	183
55	70	180
56	70	176
57	70	173
58	71	170
59	71	167
60	72	165
61	72	162
62	73	159
63	73	157
64	74	154
65	74	152
66	75	149
67	75	147
68	76	145
69	76	142
70	77	140
71	77	138
72	78	137
73	79	135
74	80	133
75	80	131
76	81	129
77	81	127
78	82	125
79	82	124
80	83	122
81	83	120
82	84	118
83	85	117
84	85	116
85	86	114
86	87	113
87	88	112
88	88	110
89	89	108
90	89	107
91	90	106
92	90	104
93	91	103
94	92	102
95	93	100
96	94	99
97	95	99
98	105	107
99	110	110
100	115	112
101	116	111
102	117	111
103	119	110
104	121	109
105	121	108
106	122	106
107	123	105
108	123	103
109	124	101
110	124	100
111	125	98
112	125	96
113	126	95
114	126	93
115	127	92
116	127	90
117	128	88
118	128	87
119	128	85
120	129	84
121	129	82
122	130	81
123	130	79
124	130	78
125	131	77
126	131	75
127	132	74
128	132	72
129	132	71
130	133	70
131	133	68
132	134	67
133	135	66
134	135	65
135	136	64
136	136	62
137	137	61
138	137	60
139	138	59
140	139	58
141	139	57
142	140	55
143	140	54
144	141	53
145	141	52
146	142	51
147	142	50
148	142	48
149	143	47
150	143	46
151	144	45
152	144	44
153	144	43
154	145	42
155	145	41
156	146	40
157	146	38
158	146	37
159	147	36
160	148	35
161	148	34
162	149	33
163	149	32
164	151	32
165	152	31
166	152	30
167	153	29
168	153	28
169	154	27
170	154	26
171	155	25
172	155	24
173	156	23
174	156	22
175	157	21
176	158	20
177	158	19
178	159	18
179	159	17
180	160	16
181	160	15
182	161	14
183	162	14
184	163	13
185	163	12
186	164	11
187	165	10
188	165	9
189	166	8
190	167	7
191	168	7
192	168	6
193	169	5
194	169	4
195	170	3
196	170	2
197	171	1
198	171	0
199	172	0
