"행정구역(시군구)별","연령별","항목","단위","2008.01 월","2008.02 월","2008.03 월","2008.04 월","2008.05 월","2008.06 월","2008.07 월","2008.08 월","2008.09 월","2008.10 월","2008.11 월","2008.12 월","2009.01 월","2009.02 월","2009.03 월","2009.04 월","2009.05 월","2009.06 월","2009.07 월","2009.08 월","2009.09 월","2009.10 월","2009.11 월","2009.12 월","2010.01 월","2010.02 월","2010.03 월","2010.04 월","2010.05 월","2010.06 월","2010.07 월","2010.08 월","2010.09 월","2010.10 월","2010.11 월","2010.12 월","2011.01 월","2011.02 월","2011.03 월","2011.04 월","2011.05 월","2011.06 월","2011.07 월","2011.08 월","2011.09 월","2011.10 월","2011.11 월","2011.12 월","2012.01 월","2012.02 월","2012.03 월","2012.04 월","2012.05 월","2012.06 월","2012.07 월","2012.08 월","2012.09 월","2012.10 월","2012.11 월","2012.12 월","2013.01 월","2013.02 월","2013.03 월","2013.04 월","2013.05 월","2013.06 월","2013.07 월","2013.08 월","2013.09 월","2013.10 월","2013.11 월","2013.12 월","2014.01 월","2014.02 월","2014.03 월","2014.04 월","2014.05 월","2014.06 월","2014.07 월","2014.08 월","2014.09 월","2014.10 월","2014.11 월","2014.12 월","2015.01 월","2015.02 월","2015.03 월","2015.04 월","2015.05 월","2015.06 월","2015.07 월","2015.08 월","2015.09 월","2015.10 월","2015.11 월","2015.12 월","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월","2023.01 월",
"전국","15세","여자인구수[명]","명","339104","337717","339587","339954","339445","338895","338414","337610","336250","334240","332591","330742","330765","329560","329875","330399","331704","332087","332082","332072","332169","332123","332472","332435","331008","330480","331336","329023","327283","326974","326486","327176","328288","330656","331446","333396","334117","332459","332435","332981","332759","331336","330671","329413","328449","328534","327192","325038","323570","321992","322013","323121","323990","324660","325590","325552","324873","323471","322948","323386","322214","321316","320504","319376","317716","317139","315366","313429","312405","309918","307855","305295","304369","302913","301686","300255","299567","298122","297563","297005","295850","295845","296499","296521","297990","298681","300329","300730","301783","302047","301896","302978","303855","304945","305626","305295","303068","300153","297915","295594","293214","290641","287811","284727","281323","276695","272122","268452","264234","261113","257720","255501","252834","250647","249451","247311","244421","241911","239762","236624","235504","234839","234204","234478","234228","234039","233185","232575","233512","235175","236115","237366","237388","236332","236164","234711","233601","233426","233301","233367","232323","231204","230073","228432","226390","224137","222193","220382","218883","217763","216046","214971","214268","212673","211640","210497","210291","211066","210960","211557","212616","213427","213929","214627","214983","215640","216375","217406","218864","219805","221437","222829","223978","224929","227055","230686","233784","237391","240000","241047","242795",
"전국","16세","여자인구수[명]","명","332159","332394","333812","335317","336501","338265","338865","339671","340587","340765","340703","340405","338895","338558","339453","339777","339292","338743","338253","337428","336076","334052","332408","330504","330594","329395","329709","330304","331623","331996","331996","331976","332092","332979","333305","333303","331783","331251","332094","329793","328033","327722","327209","327864","328956","330463","331255","333217","333939","333207","332242","332784","332552","331114","330460","329197","328224","328314","326977","324844","323375","322710","321825","322948","323835","324542","325495","325463","324793","323414","322899","323349","322169","321277","320465","319328","317658","317069","315306","313366","312348","309865","307811","305252","304339","302894","301680","300258","299576","298137","297580","297020","295872","295868","296528","296553","298032","299489","300369","300766","301814","302093","301946","303018","303894","304983","305648","305316","303088","300947","297937","295611","293232","290639","287791","284698","281294","276667","272093","268418","264205","261078","257677","255437","252774","250611","249398","247246","244359","241859","239724","236591","235468","234806","234176","234453","234191","234004","233147","232544","233479","235143","236080","237346","237375","236692","236138","234691","233579","233401","233266","233336","232289","231180","230055","228417","226370","224503","222155","220335","218834","217712","215993","214926","214219","212623","211583","210444","210236","211023","210956","211543","212591","213414","213915","214601","214881","215534","216259","217288","218744",
"전국","17세","여자인구수[명]","명","302442","300101","304255","306791","308384","309766","311802","313836","316566","320880","325574","331607","331938","331166","333630","335062","336294","338099","338669","339459","340372","340563","340515","340207","338761","338415","339293","339654","339175","338642","338134","337311","335981","334962","333291","331419","331471","330255","330549","331144","332421","332769","332758","332731","332859","332786","333127","333125","331603","331068","331893","329601","327846","327520","327005","327677","328754","330259","331052","333005","333732","332078","332061","332617","332408","331007","330344","329100","328151","328258","326929","324795","323329","322666","321787","322897","323776","324495","325424","325396","324717","323340","322818","323254","322086","321186","320384","319285","317629","317055","315293","313358","312345","309855","307797","305261","304340","302893","301672","300254","299579","298141","297599","297033","295876","295872","296528","296546","298030","298726","300375","300775","301815","302071","301921","302993","303870","304960","305615","305260","303045","300911","297886","295550","293169","290592","287735","284640","281226","276612","272039","268354","264142","261033","257643","255406","252750","250560","249368","247200","244313","241807","239666","236525","235409","234745","234119","234403","234150","233963","233101","232499","233437","235104","236038","237302","237323","236272","236026","234577","233460","233276","233160","233222","232165","231069","229955","228312","226260","224390","222084","220281","218783","217673","215950","214872","214078","212483","211457","210324","210130",
"전국","18세","여자인구수[명]","명","294918","296569","296747","298057","299677","300697","302348","303378","303456","303159","301814","296673","302340","299989","304137","306602","308175","309605","311605","313627","316323","320649","325365","331402","331789","331018","333503","334982","336217","338027","338624","339393","340304","341540","341467","341179","339694","339334","340202","340539","340041","339485","338923","338121","336768","334761","333105","331233","331294","330095","330386","330980","332229","332547","332557","332511","332644","332574","332903","332903","331409","330872","331712","329436","327682","327395","326911","327595","328674","330173","330971","332946","333674","332023","331994","332551","332331","330906","330285","329050","328102","328213","326891","324771","323321","322670","321801","322906","323790","324515","325453","325430","324752","323365","322838","323260","322099","321205","320398","319285","317638","317082","315343","313408","312396","309910","307852","305303","304377","302932","301705","300274","299581","298130","297587","297027","295872","295870","296537","296572","298045","298719","300350","300759","301791","302054","301902","302982","303860","304925","305572","305199","302983","300857","297843","295519","293147","290565","287714","284614","281213","276595","272010","268310","264110","260994","257604","255360","252703","250502","249309","247149","244254","241763","239625","236486","235369","234713","234008","234290","234014","233823","232970","232370","233313","234980","235911","237176","237186","236154","235992","234551","233436","233255","233142","233192","232013","230916","229786","228149","226114",
"전국","19세","여자인구수[명]","명","293457","294097","294664","295298","295379","295695","295651","295520","295618","295198","294451","298540","294825","296464","296668","297902","299544","300604","302230","303256","303305","302981","301627","296450","302191","299833","303994","306508","308113","309558","311560","313579","316286","321651","326367","332414","332763","331959","334437","335919","337138","338963","339539","340283","341189","341344","341284","341023","339531","338139","340001","340323","339840","339252","338696","337913","336538","334518","332872","331003","331059","329872","330198","330799","332078","332432","332473","332443","332599","332551","332881","332880","331383","330837","331677","329386","327640","327353","326846","327540","328615","330108","330911","332881","333611","331989","331985","332564","332366","330949","330331","329104","328168","328287","326967","324852","323379","321786","321820","322921","323814","324536","325468","325442","324763","323386","322857","323320","322131","321231","320402","319302","317652","317082","315317","313395","312380","309891","307835","305301","304375","302933","301694","300254","299566","298124","297568","297002","295843","295845","296493","296536","298009","298662","300324","300745","301781","302052","301889","302970","303838","304892","305538","305177","302954","300045","297804","295470","293084","290494","287648","284565","281177","276558","271989","268288","264088","260962","257472","255219","252560","250360","249163","247001","244112","241617","239485","236353","235238","234571","233962","234244","233977","233797","232932","232313","233148","234802","235736","237018","237028",
"전국","20세","여자인구수[명]","명","295251","294069","292430","291193","290812","290076","290081","290474","291227","291319","292730","293668","293379","294896","294630","295155","295284","295595","295534","295368","295455","295044","294316","298378","294714","296368","296604","297933","299624","300683","302338","303349","303406","304168","302759","297560","303219","300832","305008","307521","309070","310489","312466","314520","317282","321590","326321","332348","332699","332900","334336","335814","337007","338768","339370","340117","341007","341160","341082","340825","339359","338986","339839","340172","339681","339144","338612","337851","336484","334479","332855","330975","331025","329831","330164","330765","332044","332417","332424","332392","332546","332507","332839","332843","331350","330816","331680","329394","327665","327400","326915","327606","328688","330164","330954","332927","333654","332945","332013","332587","332390","330980","330373","329149","328206","328322","327003","324864","323407","322740","321843","322937","323819","324527","325445","325408","324721","323340","322813","323260","322107","321191","320370","319267","317619","317046","315274","313347","312333","309849","307793","305259","304309","302863","301636","300202","299514","298064","297514","296942","295787","295788","296430","296459","297944","299379","300250","300664","301713","301983","301819","302902","303769","304830","305485","305142","302911","300785","297629","295291","292887","290280","287419","284338","280971","276360","271789","268075","263873","260772","257388","255140","252484","250279","249083","246907","243878","241386","239253","236142","235049",
"전국","21세","여자인구수[명]","명","296729","297010","296501","296259","296348","296670","296154","295723","295943","296621","295833","295749","295206","293132","292488","291136","290738","290081","290012","290379","291116","291248","292731","293661","293485","294955","294734","295362","295476","295821","295763","295590","295694","296337","295568","299672","295931","297550","297775","299059","300707","301768","303389","304404","304447","304109","302726","297551","303194","300825","304997","307502","309041","310459","312436","314464","317176","321481","326175","332219","332548","331729","334233","335711","336926","338700","339319","340079","340979","341146","341071","340818","339340","338966","339821","340163","339686","339128","338592","337842","336474","334468","332848","330956","331020","329845","330185","330805","332109","332489","332511","332493","332677","332639","332964","332977","331478","330925","331772","329485","327735","327465","326969","327649","328716","330202","330993","332967","333692","332069","332056","332623","332434","331002","330385","329153","328210","328318","326997","324858","323370","322687","321780","322868","323750","324450","325386","325338","324644","323250","322704","323142","321998","321099","320289","319182","317531","316960","315186","313265","312253","309769","307724","305173","304228","302787","301554","300136","299436","297976","297426","296845","295691","295693","296340","296374","297863","298526","300046","300452","301467","301753","301593","302674","303533","304592","305238","304890","302666","300526","297518","295168","292800","290205","287330","284210","280652","276047","271484","267771","263586",
"전국","22세","여자인구수[명]","명","308954","307314","306585","307332","307249","306320","305041","303527","302676","300247","299325","296213","296681","296967","296507","296152","296278","296688","296204","295771","296008","296702","295996","295874","295470","293455","292876","291616","291228","290563","290526","290910","291619","292859","294293","295214","295023","296464","296227","296801","296869","297180","297039","296833","296915","296493","295723","299815","296094","297711","297914","299218","300856","301842","303467","304488","304522","304168","302779","297581","303227","300864","305051","307571","309123","310571","312571","314607","317338","321624","326352","332415","332747","331932","334429","335888","337101","338909","339528","340283","341173","341324","341223","340984","339502","339119","339974","340306","339818","339284","338781","338028","336641","334623","333001","331112","331166","329977","330314","330910","332211","332601","332618","332587","332769","332737","333067","333085","331563","331031","331862","329568","327805","327502","327001","327663","328734","330219","330995","332965","333686","332052","332023","332586","332387","331002","330364","329126","328161","328266","326935","324799","323309","322624","321722","322807","323698","324418","325341","325278","324595","323191","322662","323095","321937","321042","320228","319092","317448","316883","315108","313200","312170","309707","307655","305121","304173","302735","301342","299916","299199","297743","297215","296642","295495","295496","296143","296180","297677","298341","300024","300443","301466","301731","301557","302613","303275","304324","304960","304647","302421",
"전국","23세","여자인구수[명]","명","314970","310232","309348","308246","308172","308174","308494","309007","308522","308942","309497","311774","309018","307320","306674","307225","307142","306296","305042","303629","302830","300552","299694","296617","297254","297493","297130","296885","297002","297403","296890","296466","296653","298488","297729","297614","297198","295121","294551","293267","292901","292249","292214","292572","293316","293389","294796","295712","295462","295979","296593","297128","297176","297423","297313","297089","297137","296722","295975","300034","296320","297928","298191","299533","301202","302262","303876","304923","304952","304600","303211","298032","303677","301316","305485","307990","309511","310944","312928","314947","317648","321925","326676","332723","333013","332226","334755","336252","337481","339287","339867","340596","341504","341625","341505","341263","339781","338352","340223","340536","340034","339493","339006","338242","336854","334839","333212","331360","331425","330234","330553","331149","332426","332771","332777","332756","332907","332869","333199","333191","331680","331115","331962","329657","327908","327613","327093","327775","328836","330313","331102","333074","333774","332140","332124","332689","332493","331073","330445","329181","328208","328292","326940","324789","323291","321690","321703","322795","323687","324407","325337","325293","324634","323216","322672","323101","321951","321061","320063","318923","317247","316678","314926","313054","312019","309571","307511","304992","304014","302571","301339","299942","299247","297789","297249","296654","295291","295289","295972","296024","297518",
"전국","24세","여자인구수[명]","명","357756","355921","351210","347801","343279","339233","335900","332998","330318","327327","322773","317868","315151","311441","309634","308317","308246","308371","308675","309175","308771","309264","309907","312157","309649","308035","307479","308243","308108","307255","305985","304470","303634","302612","301658","298554","299111","299430","299073","298828","298893","299327","298815","298347","298537","299167","298428","298366","297856","296655","295144","293812","293408","292746","292689","293082","293794","293871","295290","296204","295906","297308","297020","297565","297633","297912","297795","297575","297654","297281","296549","300642","296909","298511","298728","300034","301689","302725","304364","305399","305412","305054","303647","298483","304075","301700","305898","308412","309933","311369","313363","315373","318040","322285","327032","333102","333414","333622","335098","336577","337775","339593","340181","340932","341827","341965","341866","341658","340142","339729","340555","340893","340436","339856","339333","338584","337198","335174","333563","331672","331697","330465","330770","331364","332633","332994","333017","333010","333166","333115","333446","333462","331921","331388","332223","329906","328153","327841","327334","327998","329052","330526","331280","333254","333940","333213","332232","332764","332564","331147","330525","329288","328313","328410","327057","324902","323416","322738","321601","322678","323549","324262","325213","325165","324516","323115","322590","323010","321887","320997","320206","319060","317423","316856","315086","313154","311859","309398","307372","304885","303919",
