,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 통계표ID :,DT_1C51,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 통계표명 :,경제활동별 지역내총생산,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 수록기간 :, ( 년 : 1985 ~ 2009 ),,,,,,,,,,,,,,,,,,,,,,,,,,,
* 조회기간 :,   [년] 2000 ~ 2008         ,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 출처 :,통계청 경제통계국 지역소득통계팀,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 자료다운일자 :,2011/06/24 09:20:29,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 단위 :,백만원,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시도별,경제활동별,2000 ,,,2001 ,,,2002 ,,,2003 ,,,2004 ,,,2005 ,,,2006 ,,,2007 ,,,2008 ,,
,,당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100)
전국,지역내총생산(시장가격),"603,733,111 ","691,467,810 ",-,"650,190,908 ","718,652,029 ",-,"723,486,044 ","778,485,333 ",-,"772,221,334 ","806,524,079 ",-,"829,468,350 ","834,771,320 ",-,"869,304,594 ","869,304,594 ",-,"912,925,588 ","914,018,451 ",-,"983,030,289 ","965,297,715 ",-,"1,028,500,488 ","991,677,406 ",-
,순생산물세,"63,312,908 ","67,748,279 ",-,"67,590,988 ","68,028,805 ",-,"81,855,073 ","83,788,876 ",-,"86,395,304 ","87,354,242 ",-,"87,808,859 ","85,701,988 ",-,"89,210,499 ","89,210,499 ",-,"93,524,769 ","92,817,521 ",-,"101,212,600 ","99,372,057 ",-,"106,821,292 ","101,887,064 ",-
,총부가가치(기초가격),"540,420,203 ","623,719,531 ",-,"582,599,920 ","650,623,224 ",-,"641,630,971 ","694,696,457 ",-,"685,826,030 ","719,169,837 ",-,"741,659,491 ","749,069,332 ",-,"780,094,095 ","780,094,095 ",-,"819,400,819 ","821,200,930 ",-,"881,817,689 ","865,925,658 ",-,"921,679,196 ","889,790,342 ",-
,농림어업,"25,653,020 ","25,750,850 ",-,"25,770,985 ","25,703,305 ",-,"25,226,747 ","25,039,526 ",-,"24,591,691 ","24,112,989 ",-,"26,972,019 ","25,308,930 ",-,"25,648,810 ","25,648,810 ",-,"25,318,122 ","25,774,727 ",-,"24,852,271 ","26,404,052 ",-,"23,902,205 ","27,878,597 ",-
,광업,"1,708,930 ","1,917,134 ",-,"1,604,946 ","1,898,038 ",-,"1,704,262 ","1,905,660 ",-,"1,642,040 ","1,976,825 ",-,"1,735,208 ","2,000,837 ",-,"2,027,191 ","2,027,191 ",-,"1,963,829 ","2,017,999 ",-,"2,011,695 ","1,944,130 ",-,"2,223,657 ","2,038,499 ",-
,제조업,"150,657,082 ","161,241,630 ",-,"152,311,391 ","164,627,721 ",-,"165,877,134 ","177,468,669 ",-,"173,299,609 ","185,099,833 ",-,"203,787,604 ","201,943,915 ",-,"213,858,608 ","213,858,608 ",-,"222,144,745 ","231,690,573 ",-,"240,124,417 ","248,690,756 ",-,"255,418,865 ","257,235,799 ",-
,　기초소재형,"50,278,023 ","65,421,449 ",-,"51,483,585 ","66,466,641 ",-,"59,430,271 ","70,237,378 ",-,"61,842,028 ","72,932,844 ",-,"71,741,896 ","75,254,915 ",-,"76,406,298 ","76,406,298 ",-,"74,727,170 ","79,299,690 ",-,"80,314,394 ","82,516,538 ",-,"92,022,800 ","83,410,612 ",-
,　가공조립형,"80,756,054 ","71,917,645 ",-,"81,761,600 ","73,490,052 ",-,"86,054,640 ","82,748,047 ",-,"90,606,164 ","88,406,943 ",-,"108,980,482 ","102,880,786 ",-,"113,625,083 ","113,625,083 ",-,"123,387,129 ","127,478,847 ",-,"134,562,552 ","140,503,318 ",-,"137,833,870 ","147,525,053 ",-
,　생활관련형,"19,623,005 ","23,902,536 ",-,"19,066,206 ","24,671,028 ",-,"20,392,223 ","24,483,244 ",-,"20,851,417 ","23,760,046 ",-,"23,065,226 ","23,808,214 ",-,"23,827,227 ","23,827,227 ",-,"24,030,446 ","24,912,036 ",-,"25,247,471 ","25,670,900 ",-,"25,562,195 ","26,300,134 ",-
