"시군구별","용도지역및이용현황별","항목","단위","2006.01 월","2006.02 월","2006.03 월","2006.04 월","2006.05 월","2006.06 월",
"전국","평균","지가변동률[%]","%",".355",".42",".529",".506",".483",".438",
"전국","주거지역","지가변동률[%]","%",".295",".386",".541",".519",".517",".453",
"전국","상업지역","지가변동률[%]","%",".191",".311",".464",".408",".425",".436",
"전국","공업지역","지가변동률[%]","%",".322",".349",".481",".476",".467",".441",
"전국","녹지지역","지가변동률[%]","%",".586",".567",".604",".623",".537",".508",
"전국","관리지역","지가변동률[%]","%",".503",".521",".493",".455",".388",".326",
"전국","보전관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"전국","생산관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"전국","계획관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"전국","농림지역","지가변동률[%]","%",".554",".548",".518",".464",".357",".303",
"전국","자연환경보전지역","지가변동률[%]","%",".363",".386",".314",".305",".217",".228",
"전국","비도시지역","지가변동률[%]","%","-","-","-","-","-","-",
"전국","준도시지역","지가변동률[%]","%","-","-","-","-","-","-",
"전국","준농림지역","지가변동률[%]","%","-","-","-","-","-","-",
"전국","전","지가변동률[%]","%",".656",".669",".644",".618",".564",".506",
"전국","답","지가변동률[%]","%",".67",".661",".643",".646",".496",".465",
"전국","주거용(대)","지가변동률[%]","%",".351",".394",".536",".511",".464",".431",
"전국","상업용(대)","지가변동률[%]","%",".248",".381",".521",".481",".517",".451",
"전국","임야","지가변동률[%]","%",".443",".421",".443",".45",".361",".343",
"전국","공장용지","지가변동률[%]","%",".366",".38",".456",".435",".415",".396",
"전국","기타","지가변동률[%]","%",".603",".537",".371",".587",".456",".447",
"서울특별시","평균","지가변동률[%]","%",".343",".561",".867",".779",".837",".736",
"서울특별시","주거지역","지가변동률[%]","%",".339",".544",".829",".761",".818",".691",
"서울특별시","상업지역","지가변동률[%]","%",".27",".579",".956",".817",".885",".915",
"서울특별시","공업지역","지가변동률[%]","%",".405",".578","1.002",".804",".911",".723",
"서울특별시","녹지지역","지가변동률[%]","%",".62",".727",".997",".893",".873",".753",
"서울특별시","관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"서울특별시","보전관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"서울특별시","생산관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"서울특별시","계획관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"서울특별시","농림지역","지가변동률[%]","%","-","-","-","-","-","-",
"서울특별시","자연환경보전지역","지가변동률[%]","%","-","-","-","-","-","-",
"서울특별시","비도시지역","지가변동률[%]","%","-","-","-","-","-","-",
"서울특별시","준도시지역","지가변동률[%]","%","-","-","-","-","-","-",
"서울특별시","준농림지역","지가변동률[%]","%","-","-","-","-","-","-",
"서울특별시","전","지가변동률[%]","%",".921","1.701","1.281","1.097","1.185","1.147",
"서울특별시","답","지가변동률[%]","%","1.176",".674","1.949","1.863","1.847","1.475",
"서울특별시","주거용(대)","지가변동률[%]","%",".364",".509",".809",".729",".711",".658",
"서울특별시","상업용(대)","지가변동률[%]","%",".322",".603",".898",".807",".925",".784",
"서울특별시","임야","지가변동률[%]","%",".056",".181",".995",".472",".192",".24",
"서울특별시","공장용지","지가변동률[%]","%",".266",".505","1.043",".687",".643",".434",
"서울특별시","기타","지가변동률[%]","%","-","-","-","-","-","-",
"종로구","평균","지가변동률[%]","%",".208",".502",".804",".716",".802",".706",
"종로구","주거지역","지가변동률[%]","%",".203",".384",".781",".693",".805",".706",
"종로구","상업지역","지가변동률[%]","%",".221",".618",".855",".751",".823",".709",
"종로구","공업지역","지가변동률[%]","%","-","-","-","-","-","-",
"종로구","녹지지역","지가변동률[%]","%","0",".118",".07",".316",".278",".611",
"종로구","관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"종로구","보전관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"종로구","생산관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"종로구","계획관리지역","지가변동률[%]","%","-","-","-","-","-","-",
"종로구","농림지역","지가변동률[%]","%","-","-","-","-","-","-",
"종로구","자연환경보전지역","지가변동률[%]","%","-","-","-","-","-","-",
"종로구","비도시지역","지가변동률[%]","%","-","-","-","-","-","-",
"종로구","준도시지역","지가변동률[%]","%","-","-","-","-","-","-",
"종로구","준농림지역","지가변동률[%]","%","-","-","-","-","-","-",
"종로구","전","지가변동률[%]","%","-","-","-","-","-","-",
