"시군구별","용도지역및이용현황별","항목","단위","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월",
"전국","평균","지가변동률[%]","%",".341",".314",".265",".3",".317",".33",".323",".337",".33",".292",".311",".318",".336",".323",".304",".276",".197",".081","-.005","-.032",
"전국","주거지역","지가변동률[%]","%",".394",".353",".276",".323",".337",".361",".367",".384",".387",".315",".327",".343",".355",".347",".32",".282",".161","-.004","-.083","-.097",
"전국","상업지역","지가변동률[%]","%",".333",".301",".269",".295",".344",".395",".336",".397",".369",".306",".322",".32",".391",".355",".339",".305",".283",".181",".041","-.004",
"전국","공업지역","지가변동률[%]","%",".143",".188",".148",".182",".183",".203",".186",".155",".158",".276",".313",".309",".316",".299",".303",".272",".229",".174",".084",".048",
"전국","녹지지역","지가변동률[%]","%",".317",".297",".273",".285",".311",".287",".267",".268",".273",".253",".28",".275",".288",".278",".267",".266",".23",".189",".142",".097",
"전국","보전관리지역","지가변동률[%]","%",".191",".206",".189",".176",".169",".167",".18",".184",".146",".18",".196",".203",".199",".203",".2",".198",".168",".128",".072",".031",
"전국","생산관리지역","지가변동률[%]","%",".213",".232",".241",".25",".232",".215",".227",".191",".177",".206",".218",".217",".236",".221",".217",".201",".181",".14",".065",".034",
"전국","계획관리지역","지가변동률[%]","%",".314",".274",".301",".308",".31",".288",".295",".295",".259",".258",".28",".296",".294",".287",".278",".263",".228",".158",".089",".044",
"전국","농림지역","지가변동률[%]","%",".251",".239",".244",".305",".284",".27",".246",".238",".199",".224",".236",".225",".227",".218",".201",".2",".176",".149",".084",".04",
"전국","자연환경보전지역","지가변동률[%]","%",".165",".158",".148",".143",".149",".203",".157",".136",".08",".121",".142",".167",".154",".151",".147",".159",".147",".102",".07",".033",
