"시군구별","용도지역및이용현황별","항목","단위","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월",
"전국","평균","지가변동률[%]","%",".292",".311",".318",".336",".323",".304",".276",".197",".081","-.005","-.032",
"전국","주거지역","지가변동률[%]","%",".315",".327",".343",".355",".347",".32",".282",".161","-.004","-.083","-.097",
"전국","상업지역","지가변동률[%]","%",".306",".322",".32",".391",".355",".339",".305",".283",".181",".041","-.004",
"전국","공업지역","지가변동률[%]","%",".276",".313",".309",".316",".299",".303",".272",".229",".174",".084",".048",
"전국","녹지지역","지가변동률[%]","%",".253",".28",".275",".288",".278",".267",".266",".23",".189",".142",".097",
"전국","보전관리지역","지가변동률[%]","%",".18",".196",".203",".199",".203",".2",".198",".168",".128",".072",".031",
"전국","생산관리지역","지가변동률[%]","%",".206",".218",".217",".236",".221",".217",".201",".181",".14",".065",".034",
"전국","계획관리지역","지가변동률[%]","%",".258",".28",".296",".294",".287",".278",".263",".228",".158",".089",".044",
"전국","농림지역","지가변동률[%]","%",".224",".236",".225",".227",".218",".201",".2",".176",".149",".084",".04",
"전국","자연환경보전지역","지가변동률[%]","%",".121",".142",".167",".154",".151",".147",".159",".147",".102",".07",".033",
"전국","전","지가변동률[%]","%",".271",".302",".297",".311",".298",".289",".286",".256",".22",".163",".115",
"전국","답","지가변동률[%]","%",".254",".271",".278",".282",".266",".246",".236",".221",".189",".137",".078",
"전국","주거용(대)","지가변동률[%]","%",".307",".318",".327",".332",".336",".302",".256",".081","-.131","-.177","-.168",
"전국","상업용(대)","지가변동률[%]","%",".3",".319",".335",".375",".349",".334",".313",".297",".202",".057",".01",
"전국","임야","지가변동률[%]","%",".18",".184",".188",".191",".196",".205",".191",".178",".144",".096",".067",
"전국","공장용지","지가변동률[%]","%",".264",".307",".307",".296",".28",".294",".276",".261",".22",".152",".098",
"전국","기타","지가변동률[%]","%",".217",".181",".225",".229",".208",".168",".16",".208",".166",".031",".042",
"서울특별시","평균","지가변동률[%]","%",".347",".359",".378",".414",".404",".383",".342",".205",".005","-.088","-.094",
"서울특별시","주거지역","지가변동률[%]","%",".349",".358",".382",".4",".402",".372",".332",".159","-.058","-.12","-.119",
"서울특별시","상업지역","지가변동률[%]","%",".338",".358",".364",".477",".415",".416",".372",".349",".203",".016","-.011",
"서울특별시","공업지역","지가변동률[%]","%",".435",".445",".458",".483",".479",".478",".412",".336",".134","-.024","-.054",
"서울특별시","녹지지역","지가변동률[%]","%",".175",".194",".215",".219",".213",".241",".231",".175",".066","-.009","-.022",
"서울특별시","전","지가변동률[%]","%",".21",".232",".209",".233",".235",".21",".184",".197",".074",".023","-.011",
"서울특별시","답","지가변동률[%]","%",".173",".115",".147",".182",".26",".356",".296",".168",".107","-.056","-.083",
"서울특별시","주거용(대)","지가변동률[%]","%",".349",".351",".369",".379",".392",".361",".303",".044","-.209","-.216","-.19",
"서울특별시","상업용(대)","지가변동률[%]","%",".342",".364",".391",".442",".417",".401",".378",".363",".197",".039","-.002",
"서울특별시","임야","지가변동률[%]","%",".146",".163",".192",".175",".194",".188",".192",".195",".059","-.007","-.035",
"서울특별시","공장용지","지가변동률[%]","%",".599",".5",".614",".548",".592",".56",".429",".468",".24",".075",".021",
"종로구","평균","지가변동률[%]","%",".342",".36",".413",".479",".476",".483",".371",".225","-.021","-.212","-.258",
"종로구","주거지역","지가변동률[%]","%",".356",".369",".426",".507",".504",".484",".375",".139","-.1","-.332","-.387",
"종로구","상업지역","지가변동률[%]","%",".333",".354",".405",".462",".454",".484",".373",".307",".052","-.101","-.138",
"종로구","녹지지역","지가변동률[%]","%",".106",".116",".213",".089",".259",".299",".059",".256",".074","0","-.178",
"종로구","전","지가변동률[%]","%","0","0",".268","0",".427",".532","0",".53","0","0","0",
"종로구","주거용(대)","지가변동률[%]","%",".363",".38",".441",".512",".501",".497",".334","-.006","-.255","-.389","-.489",
"종로구","상업용(대)","지가변동률[%]","%",".336",".346",".403",".474",".473",".485",".41",".363",".143","-.138","-.168",
"종로구","임야","지가변동률[%]","%",".033",".062",".22",".036",".287",".121",".041",".197",".04","0","-.247",
"중구","평균","지가변동률[%]","%",".205",".24",".302",".389",".402",".374",".281",".248","-.034","-.137","-.161",
"중구","주거지역","지가변동률[%]","%",".298",".311",".341",".392",".408",".377",".246",".148","-.165","-.249","-.194",
"중구","상업지역","지가변동률[%]","%",".173",".216",".289",".387",".402",".372",".294",".282",".01","-.096","-.148",
"중구","주거용(대)","지가변동률[%]","%",".336",".349",".386",".417",".438",".433",".203","-.06","-.394","-.384","-.215",
"중구","상업용(대)","지가변동률[%]","%",".189",".223",".292",".386",".397",".357",".296",".304",".018","-.103","-.153",
