"시군구별","용도지역및이용현황별","항목","단위","2008.03 월","2008.04 월","2008.05 월","2008.06 월","2008.07 월","2008.08 월","2008.09 월","2008.10 월","2008.11 월","2008.12 월","2009.01 월","2009.02 월","2009.03 월","2009.04 월","2009.05 월","2009.06 월","2009.07 월","2009.08 월","2009.09 월","2009.10 월",
"전국","평균","지가변동률[%]","%",".465",".508",".481",".473",".425",".426",".322",".04","-1.44","-2.725","-.756","-.352","-.093",".066",".115",".166",".206",".363",".305",".296",
"전국","주거지역","지가변동률[%]","%",".492",".534",".51",".478",".429",".43",".3","-.049","-1.823","-2.961","-.812","-.364","-.079",".102",".142",".197",".222",".427",".314",".294",
"전국","상업지역","지가변동률[%]","%",".408",".448",".413",".402",".373",".377",".322","-.036","-1.641","-2.831","-.837","-.441","-.112",".053",".093",".128",".178",".332",".283",".264",
"전국","공업지역","지가변동률[%]","%",".45",".501",".524",".513",".502",".465",".359",".146","-1.137","-3.076","-.721","-.352","-.117",".016",".075",".11",".145",".285",".285",".317",
"전국","녹지지역","지가변동률[%]","%",".501",".526",".511",".511",".475",".47",".394",".214","-.878","-2.398","-.657","-.289","-.081",".062",".115",".186",".234",".343",".33",".344",
"전국","관리지역","지가변동률[%]","%",".371",".387",".404",".411",".41",".421",".313",".181","-.716","-2.065","-.632","-.311","-.136","-.012",".063",".11",".189",".249",".302",".309",
"전국","보전관리지역","지가변동률[%]","%",".328",".276",".461",".314",".352",".246",".306",".075","-.551","-1.824","-.492","-.32","-.178","-.021",".045",".083",".153","-.1",".287",".226",
"전국","생산관리지역","지가변동률[%]","%",".459",".4",".675",".438",".233",".266",".189",".135","-.708","-2.668","-.697","-.333","-.18",".039",".152",".166",".228",".481",".477",".506",
"전국","계획관리지역","지가변동률[%]","%",".368",".44",".371",".443",".366",".416",".317",".109","-.69","-2.274","-.853","-.335","-.113",".03",".167",".191",".33",".425",".487",".407",
"전국","농림지역","지가변동률[%]","%",".477",".6",".389",".573",".341",".374",".31",".182","-.768","-2.116","-.62","-.29","-.126","-.007",".05",".097",".145",".194",".217",".217",
"전국","자연환경보전지역","지가변동률[%]","%",".169",".153",".152",".175",".164",".162",".15",".115","-.421","-1.146","-.29","-.14","-.066","-.002",".016",".038",".052",".073",".106",".125",
"전국","비도시지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"전국","준도시지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"전국","준농림지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"전국","전","지가변동률[%]","%",".46",".467",".479",".486",".463",".46",".387",".222","-.73","-2.186","-.606","-.296","-.089",".043",".113",".19",".253",".347",".353",".374",
"전국","답","지가변동률[%]","%",".605",".683",".49",".635",".442",".47",".393",".258","-.684","-2.111","-.566","-.247","-.088",".029",".084",".131",".174",".248",".271",".279",
"전국","주거용(대)","지가변동률[%]","%",".488",".537",".51",".472",".43",".43",".308","-.012","-1.68","-2.863","-.781","-.34","-.069",".106",".152",".211",".234",".426",".331",".305",
"전국","상업용(대)","지가변동률[%]","%",".45",".479",".464",".445",".403",".409",".312","-.05","-1.768","-2.932","-.845","-.424","-.117",".063",".094",".135",".183",".369",".285",".267",
"전국","임야","지가변동률[%]","%",".306",".321",".338",".356",".343",".359",".282",".139","-.764","-2.139","-.652","-.312","-.122","-.001",".058",".1",".156",".206",".234",".253",
"전국","공장용지","지가변동률[%]","%",".442",".492",".529",".541",".514",".479",".376",".2","-.942","-2.86","-.729","-.347","-.127","-.001",".066",".115",".18",".274",".291",".333",
"전국","기타","지가변동률[%]","%",".079",".604",".192",".181",".033",".102",".068",".019","-.371","-1.688","-.468","-.186","-.115",".028","0",".215",".067",".145",".034",".109",
"서울특별시","평균","지가변동률[%]","%",".703",".777",".715",".664",".597",".586",".398","-.242","-2.721","-3.487","-.914","-.437","-.033",".209",".204",".263",".276",".631",".387",".299",
"서울특별시","주거지역","지가변동률[%]","%",".7",".767",".709",".646",".567",".557",".347","-.269","-2.815","-3.49","-.914","-.415","-.03",".208",".208",".268",".269",".638",".38",".291",
"서울특별시","상업지역","지가변동률[%]","%",".7",".784",".715",".693",".638",".651",".561","-.174","-2.492","-3.552","-.998","-.543","-.03",".209",".196",".234",".294",".597",".42",".332",
"서울특별시","공업지역","지가변동률[%]","%",".621",".711",".769",".714",".855",".732",".506","-.13","-2.257","-3.551","-.778","-.385","-.074",".17",".18",".237",".245",".617",".401",".302",
"서울특별시","녹지지역","지가변동률[%]","%",".845",".986",".797",".799",".701",".668",".498","-.168","-2.477","-3.098","-.675","-.428","-.054",".234",".217",".325",".333",".684",".358",".307",
"서울특별시","관리지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"서울특별시","보전관리지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"서울특별시","생산관리지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"서울특별시","계획관리지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"서울특별시","농림지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"서울특별시","자연환경보전지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"서울특별시","비도시지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"서울특별시","준도시지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"서울특별시","준농림지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"서울특별시","전","지가변동률[%]","%",".946","1.172",".691",".86",".521",".506",".496","-.066","-2.303","-3.189","-.581","-.293",".136",".497",".482",".644",".496",".835",".414",".41",
"서울특별시","답","지가변동률[%]","%","1.014","1.004",".994",".984",".976",".965",".956","-.308","-2.828","-3.277","-.253","-.711","-.332",".118",".023",".179",".355",".595",".078","0",
"서울특별시","주거용(대)","지가변동률[%]","%",".729",".818",".732",".657",".587",".566",".349","-.266","-2.803","-3.455","-.879","-.4","-.017",".234",".237",".305",".289",".665",".407",".305",
"서울특별시","상업용(대)","지가변동률[%]","%",".691",".735",".705",".67",".595",".605",".461","-.217","-2.654","-3.533","-.971","-.485","-.05",".18",".165",".211",".261",".595",".373",".299",
"서울특별시","임야","지가변동률[%]","%",".412",".491",".455",".449",".323",".356",".381","-.24","-2.237","-3.1","-.785","-.359","-.057",".117",".104",".19",".272",".462",".268",".269",
"서울특별시","공장용지","지가변동률[%]","%",".573",".758",".736",".938","1.11",".922",".565","-.044","-2.165","-3.747","-.824","-.394","-.071",".216",".159",".233",".262",".677",".431",".349",
"서울특별시","기타","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"종로구","평균","지가변동률[%]","%",".672",".66",".66",".568",".559",".61",".404","-.247","-2.419","-3.651","-1.005","-.653","-.118",".078",".1",".208",".25",".602",".45",".207",
"종로구","주거지역","지가변동률[%]","%",".694",".648",".625",".598",".543",".556",".329","-.197","-2.334","-3.384","-.97","-.694","-.12",".065",".077",".221",".227",".55",".502",".253",
"종로구","상업지역","지가변동률[%]","%",".662",".671",".693",".54",".573",".66",".459","-.294","-2.492","-3.931","-1.026","-.617","-.113",".093",".123",".198",".27",".649",".402",".166",
"종로구","공업지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"종로구","녹지지역","지가변동률[%]","%",".283",".6",".574",".605",".522",".53","1.032","-.129","-2.556","-1.567","-1.539","-.562","-.193","-.133","0",".188",".228",".577",".536",".19",
"종로구","관리지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"종로구","보전관리지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"종로구","생산관리지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"종로구","계획관리지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"종로구","농림지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"종로구","자연환경보전지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"종로구","비도시지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"종로구","준도시지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"종로구","준농림지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"종로구","전","지가변동률[%]","%","0",".556",".552",".66",".545",".543","0","0","-2.808","-3.333","-1.149","-.582","-.117","-.117","0",".234",".234",".584",".464",".231",
"종로구","답","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"종로구","주거용(대)","지가변동률[%]","%",".702",".658",".629",".602",".535",".55",".508","-.23","-2.364","-3.063","-1.034","-.669","-.102",".065",".082",".216",".25",".548",".505",".205",
"종로구","상업용(대)","지가변동률[%]","%",".665",".661",".674",".557",".566",".636",".409","-.251","-2.438","-3.923","-1.025","-.647","-.121",".081",".106",".204",".249",".626",".429",".207",
"종로구","임야","지가변동률[%]","%",".159",".571",".528",".566",".522",".521","0","-.123","-2.583","-.81","-.945","-.554","-.334","-.116","0",".197",".189",".545",".517",".294",
"종로구","공장용지","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"종로구","기타","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"중구","평균","지가변동률[%]","%",".653",".704",".69",".637",".6",".565",".5","-.219","-2.449","-3.296","-1.014","-.67","-.163",".041",".224",".239",".272",".597",".389",".283",
"중구","주거지역","지가변동률[%]","%",".472",".589",".522",".523",".433",".438",".414","-.197","-2.166","-2.102","-.976","-.519","-.07",".076",".126",".126",".155",".435",".234",".111",
"중구","상업지역","지가변동률[%]","%",".716",".744",".748",".677",".658",".608",".53","-.227","-2.547","-3.711","-1.026","-.723","-.195",".029",".256",".281",".314",".653",".442",".344",
"중구","공업지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"중구","녹지지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"중구","관리지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"중구","보전관리지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"중구","생산관리지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"중구","계획관리지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"중구","농림지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"중구","자연환경보전지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"중구","비도시지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"중구","준도시지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"중구","준농림지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"중구","전","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"중구","답","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"중구","주거용(대)","지가변동률[%]","%",".501",".565",".504",".534",".46",".457",".485","-.132","-1.896","-1.69","-.895","-.497","-.029",".159",".259",".257",".316",".718",".527",".229",
"중구","상업용(대)","지가변동률[%]","%",".68",".73",".722",".657",".626",".584",".508","-.229","-2.526","-3.538","-1.034","-.696","-.184",".025",".22",".24",".269",".586",".372",".294",
"중구","임야","지가변동률[%]","%","0","0","0","0","0","0","0","-.518","-2.604","-1.604","-.543","-.546","0","0","0","0","0","0","0","0",
"중구","공장용지","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"중구","기타","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"용산구","평균","지가변동률[%]","%","1.104","1.194","1.099",".983",".863",".789",".599","-.255","-3.472","-4.111","-1.021","-.553","-.101",".27",".245",".265",".282",".685",".667",".484",
"용산구","주거지역","지가변동률[%]","%","1.116","1.214","1.084",".935",".821",".752",".583","-.292","-3.695","-4.337","-1.09","-.564","-.109",".301",".281",".295",".289",".654",".671",".497",
"용산구","상업지역","지가변동률[%]","%","1.187","1.144","1.067","1.086",".8",".927",".703","-.141","-2.78","-3.211","-.829","-.507","-.09",".193",".143",".19",".194",".626",".569",".418",
