"시군구별","용도지역및이용현황별","항목","단위","2013.03 월","2013.04 월","2013.05 월","2013.06 월","2013.07 월","2013.08 월","2013.09 월","2013.10 월","2013.11 월","2013.12 월","2014.01 월","2014.02 월","2014.03 월","2014.04 월","2014.05 월","2014.06 월","2014.07 월","2014.08 월","2014.09 월","2014.10 월",
"전국","평균","지가변동률[%]","%",".109",".132",".13",".105",".019",".001",".076",".152",".156",".151",".107",".142",".199",".18",".152",".148",".168",".138",".186",".202",
"전국","주거지역","지가변동률[%]","%",".112",".161",".163",".105","-.039","-.006",".106",".202",".176",".176",".147",".176",".26",".208",".17",".17",".198",".177",".241",".256",
"전국","상업지역","지가변동률[%]","%",".075",".111",".078",".154",".091",".034",".077",".076",".185",".118",".054",".158",".096",".144",".127",".114",".126",".101",".144",".145",
"전국","공업지역","지가변동률[%]","%",".101",".117",".083",".131",".069",".033",".105",".131",".115",".129",".104",".166",".197",".207",".124",".185",".187",".108",".128",".17",
"전국","녹지지역","지가변동률[%]","%",".113",".094",".091",".09",".064","-.001",".02",".096",".121",".123",".058",".081",".128",".118",".128",".131",".135",".096",".117",".126",
"전국","관리지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"전국","보전관리지역","지가변동률[%]","%",".044",".061",".082",".025",".044","-.071",".009","-.028",".043",".048",".028",".015",".091",".141",".089",".04",".05",".061",".057",".075",
"전국","생산관리지역","지가변동률[%]","%",".073",".097",".074",".055",".072","-.037","-.003",".074",".09",".088",".008",".096",".15",".13",".115",".111",".087",".105",".105",".126",
"전국","계획관리지역","지가변동률[%]","%",".183",".141",".187",".139",".159",".001",".04",".151",".146",".197",".108",".081",".212",".202",".226",".157",".181",".129",".158",".211",
"전국","농림지역","지가변동률[%]","%",".073",".045",".029","-.037","-.005","-.051","-.015",".076",".093",".061","-.009",".016",".052",".091",".023",".028",".053",".027",".066",".099",
"전국","자연환경보전지역","지가변동률[%]","%",".038",".069",".066",".074",".072","-.006","-.044",".078",".084",".075",".01",".055",".062",".065",".064",".048",".072",".071",".068",".056",
"전국","비도시지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"전국","준도시지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"전국","준농림지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"전국","전","지가변동률[%]","%",".132",".104",".102",".082",".074",".041",".039",".114",".121",".146",".08",".097",".138",".128",".16",".164",".148",".114",".116",".137",
"전국","답","지가변동률[%]","%",".086",".071",".078",".031",".048","-.036",".004",".093",".118",".109",".019",".041",".115",".146",".095",".071",".101",".072",".096",".159",
"전국","주거용(대)","지가변동률[%]","%",".089",".147",".148",".069","-.057","-.027",".089",".208",".166",".165",".109",".13",".209",".182",".134",".14",".201",".147",".218",".229",
"전국","상업용(대)","지가변동률[%]","%",".094",".105",".107",".125",".05",".008",".052",".095",".143",".119",".097",".153",".175",".175",".15",".139",".157",".127",".18",".192",
"전국","임야","지가변동률[%]","%",".075",".044",".049",".046",".046","-.078",".011",".034",".062",".071",".026",".106",".081",".096",".101",".059",".063",".068",".095",".082",
"전국","공장용지","지가변동률[%]","%",".125",".192",".101",".112",".072",".026",".106",".111",".098",".122",".111",".071",".166",".209",".145",".195",".137",".105",".119",".145",
"전국","기타","지가변동률[%]","%",".077","-.101","-.01","-.22",".385",".111",".027","-.001",".066",".032",".125",".148",".449","-.025",".119","-.004","-.232","-.037",".142",".027",
"서울특별시","평균","지가변동률[%]","%",".105",".157",".152",".097","-.039","-.026",".145",".21",".213",".189",".19",".206",".291",".23",".182",".181",".207",".186",".294",".29",
"서울특별시","주거지역","지가변동률[%]","%",".109",".159",".174",".059","-.095","-.045",".139",".251",".194",".196",".231",".198",".354",".245",".182",".199",".224",".206",".335",".331",
"서울특별시","상업지역","지가변동률[%]","%",".095",".142",".088",".245",".155",".043",".191",".075",".32",".182",".065",".246",".101",".231",".21",".128",".163",".145",".177",".194",
"서울특별시","공업지역","지가변동률[%]","%",".061",".119",".051",".051",".026","-.044",".099",".162",".113",".077",".132",".22",".212",".101",".124",".149",".127",".08",".245",".144",
"서울특별시","녹지지역","지가변동률[%]","%",".107",".264",".197",".135",".052",".016",".056",".135",".159",".171",".053",".121",".06",".036",".051",".087",".167",".074",".081",".083",
"서울특별시","관리지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"서울특별시","보전관리지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"서울특별시","생산관리지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
