"시군구별","용도지역및이용현황별","항목","단위","2013.01 월","2014.01 월","2015.01 월","2016.01 월","2017.01 월","2018.01 월","2019.01 월","2020.01 월","2021.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월","2022.09 월","2022.10 월","2022.11 월","2022.12 월",
"전국","평균","지가변동률[%]","%",".031",".107",".143",".173",".183",".325",".314",".331",".311",".292",".311",".318",".336",".323",".304",".276",".197",".081","-.005","-.032",
"전국","주거지역","지가변동률[%]","%","-.013",".147",".171",".192",".2",".376",".353",".38",".352",".315",".327",".343",".355",".347",".32",".282",".161","-.004","-.083","-.097",
"전국","상업지역","지가변동률[%]","%",".086",".054",".12",".141",".166",".31",".301",".387",".316",".306",".322",".32",".391",".355",".339",".305",".283",".181",".041","-.004",
"전국","공업지역","지가변동률[%]","%",".026",".104",".143",".136",".11",".171",".188",".228",".201",".276",".313",".309",".316",".299",".303",".272",".229",".174",".084",".048",
"전국","녹지지역","지가변동률[%]","%",".059",".058",".122",".155",".182",".279",".297",".273",".282",".253",".28",".275",".288",".278",".267",".266",".23",".189",".142",".097",
"전국","관리지역","지가변동률[%]","%","-","-","-","","","","","","","","","","","","","","","","","",
"전국","보전관리지역","지가변동률[%]","%",".03",".028",".036",".083",".106",".209",".206",".14",".192",".18",".196",".203",".199",".203",".2",".198",".168",".128",".072",".031",
"전국","생산관리지역","지가변동률[%]","%",".075",".008",".084",".14",".16",".24",".232",".152",".19",".206",".218",".217",".236",".221",".217",".201",".181",".14",".065",".034",
"전국","계획관리지역","지가변동률[%]","%",".134",".108",".108",".206",".198",".298",".274",".23",".256",".258",".28",".296",".294",".287",".278",".263",".228",".158",".089",".044",
"전국","농림지역","지가변동률[%]","%",".097","-.009",".064",".116",".153",".263",".239",".205",".243",".224",".236",".225",".227",".218",".201",".2",".176",".149",".084",".04",
"전국","자연환경보전지역","지가변동률[%]","%",".065",".01",".11",".067",".133",".223",".158",".099",".134",".121",".142",".167",".154",".151",".147",".159",".147",".102",".07",".033",
"전국","비도시지역","지가변동률[%]","%","-","-","-","","","","","","","","","","","","","","","","","",
"전국","준도시지역","지가변동률[%]","%","-","-","-","","","","","","","","","","","","","","","","","",
"전국","준농림지역","지가변동률[%]","%","-","-","-","","","","","","","","","","","","","","","","","",
"전국","전","지가변동률[%]","%",".093",".08",".107",".213",".191",".288",".307",".241",".289",".271",".302",".297",".311",".298",".289",".286",".256",".22",".163",".115",
"전국","답","지가변동률[%]","%",".095",".019",".129",".145",".179",".282",".27",".239",".292",".254",".271",".278",".282",".266",".246",".236",".221",".189",".137",".078",
"전국","주거용(대)","지가변동률[%]","%","-.038",".109",".162",".196",".199",".363",".321",".355",".346",".307",".318",".327",".332",".336",".302",".256",".081","-.131","-.177","-.168",
"전국","상업용(대)","지가변동률[%]","%",".065",".097",".131",".154",".165",".337",".342",".383",".324",".3",".319",".335",".375",".349",".334",".313",".297",".202",".057",".01",
"전국","임야","지가변동률[%]","%",".049",".026",".048",".118",".13",".221",".205",".165",".155",".18",".184",".188",".191",".196",".205",".191",".178",".144",".096",".067",
"전국","공장용지","지가변동률[%]","%",".05",".111",".143",".121",".103",".191",".156",".195",".193",".264",".307",".307",".296",".28",".294",".276",".261",".22",".152",".098",
"전국","기타","지가변동률[%]","%","-.366",".125","-.009","-.036","-.003",".226",".2",".205",".178",".217",".181",".225",".229",".208",".168",".16",".208",".166",".031",".042",
"서울특별시","평균","지가변동률[%]","%","-.058",".19",".173",".187",".191",".417",".388",".457",".408",".347",".359",".378",".414",".404",".383",".342",".205",".005","-.088","-.094",
"서울특별시","주거지역","지가변동률[%]","%","-.115",".231",".191",".209",".205",".449",".395",".445",".412",".349",".358",".382",".4",".402",".372",".332",".159","-.058","-.12","-.119",
"서울특별시","상업지역","지가변동률[%]","%",".153",".065",".133",".111",".144",".356",".334",".502",".395",".338",".358",".364",".477",".415",".416",".372",".349",".203",".016","-.011",
"서울특별시","공업지역","지가변동률[%]","%","-.028",".132",".102",".141",".184",".259",".53",".52",".436",".435",".445",".458",".483",".479",".478",".412",".336",".134","-.024","-.054",
"서울특별시","녹지지역","지가변동률[%]","%","-.043",".053",".02",".137",".122",".404",".308",".314",".318",".175",".194",".215",".219",".213",".241",".231",".175",".066","-.009","-.022",
"서울특별시","관리지역","지가변동률[%]","%","-","-","-","","","","","","","","","","","","","","","","","",
"서울특별시","보전관리지역","지가변동률[%]","%","-","-","-","","-","","","","","","","","","","","","","","","",
"서울특별시","생산관리지역","지가변동률[%]","%","-","-","-","","-","","","","","","","","","","","","","","","",
"서울특별시","계획관리지역","지가변동률[%]","%","-","-","-","","-","","","","","","","","","","","","","","","",
"서울특별시","농림지역","지가변동률[%]","%","-","-","-","","-","","","","","","","","","","","","","","","",
"서울특별시","자연환경보전지역","지가변동률[%]","%","-","-","-","","-","","","","","","","","","","","","","","","",
"서울특별시","비도시지역","지가변동률[%]","%","-","-","-","","","","","","","","","","","","","","","","","",
"서울특별시","준도시지역","지가변동률[%]","%","-","-","-","","","","","","","","","","","","","","","","","",
"서울특별시","준농림지역","지가변동률[%]","%","-","-","-","","","","","","","","","","","","","","","","","",
"서울특별시","전","지가변동률[%]","%",".249",".096",".089",".31",".193",".422",".209",".323",".504",".21",".232",".209",".233",".235",".21",".184",".197",".074",".023","-.011",
"서울특별시","답","지가변동률[%]","%","-.334","-.05","0","0","1.199","0",".3","0",".169",".173",".115",".147",".182",".26",".356",".296",".168",".107","-.056","-.083",
"서울특별시","주거용(대)","지가변동률[%]","%","-.17",".216",".171",".238",".224",".448",".339",".403",".397",".349",".351",".369",".379",".392",".361",".303",".044","-.209","-.216","-.19",
"서울특별시","상업용(대)","지가변동률[%]","%",".069",".128",".159",".133",".143",".385",".406",".49",".409",".342",".364",".391",".442",".417",".401",".378",".363",".197",".039","-.002",
"서울특별시","임야","지가변동률[%]","%",".084",".088",".061",".011",".043",".096",".165",".323",".153",".146",".163",".192",".175",".194",".188",".192",".195",".059","-.007","-.035",
"서울특별시","공장용지","지가변동률[%]","%","-.026",".397",".074",".13",".144",".402",".317",".847",".444",".599",".5",".614",".548",".592",".56",".429",".468",".24",".075",".021",
"서울특별시","기타","지가변동률[%]","%","-","-","-","","-","","","","","","","","","","","","","","","",
"종로구","평균","지가변동률[%]","%","-.009",".2",".081",".17",".104",".529",".289",".365",".369",".342",".36",".413",".479",".476",".483",".371",".225","-.021","-.212","-.258",
"종로구","주거지역","지가변동률[%]","%","-.006",".311",".095",".257",".135",".545",".304",".377",".375",".356",".369",".426",".507",".504",".484",".375",".139","-.1","-.332","-.387",
"종로구","상업지역","지가변동률[%]","%","-.013",".096",".068",".092",".073",".521",".277",".36",".368",".333",".354",".405",".462",".454",".484",".373",".307",".052","-.101","-.138",
"종로구","공업지역","지가변동률[%]","%","-","-","-","","-","","","","","","","","","","","","","","","",
"종로구","녹지지역","지가변동률[%]","%","0",".367",".093",".018",".116",".231",".147",".018",".198",".106",".116",".213",".089",".259",".299",".059",".256",".074","0","-.178",
"종로구","관리지역","지가변동률[%]","%","-","-","-","","","","","","","","","","","","","","","","","",
"종로구","보전관리지역","지가변동률[%]","%","-","-","-","","-","","","","","","","","","","","","","","","",
"종로구","생산관리지역","지가변동률[%]","%","-","-","-","","-","","","","","","","","","","","","","","","",
"종로구","계획관리지역","지가변동률[%]","%","-","-","-","","-","","","","","","","","","","","","","","","",
"종로구","농림지역","지가변동률[%]","%","-","-","-","","-","","","","","","","","","","","","","","","",
"종로구","자연환경보전지역","지가변동률[%]","%","-","-","-","","-","","","","","","","","","","","","","","","",
"종로구","비도시지역","지가변동률[%]","%","-","-","-","","","","","","","","","","","","","","","","","",
"종로구","준도시지역","지가변동률[%]","%","-","-","-","","","","","","","","","","","","","","","","","",
"종로구","준농림지역","지가변동률[%]","%","-","-","-","","","","","","","","","","","","","","","","","",
"종로구","전","지가변동률[%]","%","0","0","-","","0","4.086","0","0",".384","0","0",".268","0",".427",".532","0",".53","0","0","0",
"종로구","답","지가변동률[%]","%","-","-","-","","-","","","","","","","","","","","","","","","",
"종로구","주거용(대)","지가변동률[%]","%","-.007",".36",".115",".315",".18",".519",".249",".376",".381",".363",".38",".441",".512",".501",".497",".334","-.006","-.255","-.389","-.489",
"종로구","상업용(대)","지가변동률[%]","%","-.01",".081",".048",".092",".082",".604",".332",".344",".351",".336",".346",".403",".474",".473",".485",".41",".363",".143","-.138","-.168",
"종로구","임야","지가변동률[%]","%","0",".613",".113",".023","0",".159",".092",".022",".343",".033",".062",".22",".036",".287",".121",".041",".197",".04","0","-.247",
"종로구","공장용지","지가변동률[%]","%","-","-","-","","-","","","","","","","","","","","","","","","",
"종로구","기타","지가변동률[%]","%","-","-","-","","-","","","","","","","","","","","","","","","",
"중구","평균","지가변동률[%]","%","-.033",".064",".107",".166",".147",".456",".322",".352",".403",".205",".24",".302",".389",".402",".374",".281",".248","-.034","-.137","-.161",
"중구","주거지역","지가변동률[%]","%","-.11",".104",".035",".171",".185",".679",".282",".422",".438",".298",".311",".341",".392",".408",".377",".246",".148","-.165","-.249","-.194",
"중구","상업지역","지가변동률[%]","%","-.005",".049",".133",".164",".133",".372",".338",".325",".392",".173",".216",".289",".387",".402",".372",".294",".282",".01","-.096","-.148",
"중구","공업지역","지가변동률[%]","%","-","-","-","","-","","","","","","","","","","","","","","","",
"중구","녹지지역","지가변동률[%]","%","-","-","-","","-","","","","","","","","","","","","","","","",
"중구","관리지역","지가변동률[%]","%","-","-","-","","","","","","","","","","","","","","","","","",
"중구","보전관리지역","지가변동률[%]","%","-","-","-","","-","","","","","","","","","","","","","","","",
"중구","생산관리지역","지가변동률[%]","%","-","-","-","","-","","","","","","","","","","","","","","","",
